name,state,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A1,A2,A3,B1,B2,B3
GENE-1148,NO,1973,1043,930,0.892,-0.2,5.3e-01,1.0e+00,0.9868,2480,1038,869,1222,1227,901,662
GENE-19694,NO,670,299.3,370.7,1.238,0.3,5.3e-01,1.0e+00,0.9868,2481,120,494,284,402,281,429
GENE-4866,YES,299,199.7,99.3,0.498,-1,5.3e-01,1.0e+00,0.9868,2482,39,0,560,171,110,17
GENE-11024,NO,155,81.3,73.7,0.905,-0.1,5.3e-01,1.0e+00,0.9868,2483,65,84,95,89,62,70
GENE-6551,NO,543.7,257.3,286.3,1.114,0.2,5.3e-01,1.0e+00,0.9868,2484,255,231,286,246,387,226
GENE-18300,NO,416,215.7,200.3,0.931,-0.1,5.3e-01,1.0e+00,0.9868,2485,221,196,230,177,223,201
GENE-19741,NO,23,12.3,10.7,0.862,-0.2,5.3e-01,1.0e+00,0.9868,2486,10,17,10,9,12,11
GENE-4749,NO,92,42,50,1.183,0.2,5.3e-01,1.0e+00,0.9868,2487,25,56,45,56,32,62
GENE-19001,NO,149,71,78,1.099,0.1,5.3e-01,1.0e+00,0.9868,2488,78,65,70,88,59,87
GENE-2776,NO,9178,4372,4806,1.099,0.1,5.3e-01,1.0e+00,0.9868,2489,3726,3862,5528,5391,3894,5133
GENE-1271,NO,177.3,92.3,85,0.92,-0.1,5.4e-01,1.0e+00,0.9868,2490,99,74,104,91,81,83
GENE-8224,NO,106.3,50,56.3,1.121,0.2,5.4e-01,1.0e+00,0.9868,2491,51,36,63,67,51,51
GENE-1764,NO,401.3,155.7,245.7,1.577,0.7,5.4e-01,1.0e+00,0.9868,2492,379,64,24,176,89,472
GENE-14739,NO,560.7,298.3,262.3,0.88,-0.2,5.4e-01,1.0e+00,0.9868,2493,294,357,244,349,172,266
GENE-7590,NO,414.7,199,215.7,1.085,0.1,5.4e-01,1.0e+00,0.9868,2494,204,215,178,188,260,199
GENE-7355,NO,102.3,47.3,55,1.155,0.2,5.4e-01,1.0e+00,0.9868,2495,26,58,58,54,59,52
GENE-13142,NO,29.3,13.7,15.7,1.139,0.2,5.4e-01,1.0e+00,0.9868,2496,11,14,16,16,14,17
GENE-4428,NO,185.3,97.3,88,0.903,-0.1,5.4e-01,1.0e+00,0.9868,2497,80,89,123,76,105,83
GENE-19830,NO,42,23.7,18.3,0.773,-0.4,5.4e-01,1.0e+00,0.9868,2498,29,23,19,10,8,37
GENE-14862,NO,1034.3,459,575.3,1.254,0.3,5.4e-01,1.0e+00,0.9868,2499,584,556,237,667,816,243
GENE-11433,NO,375.7,207.7,168,0.809,-0.3,5.4e-01,1.0e+00,0.9868,2500,192,128,303,163,261,80
GENE-1497,NO,569.7,331,238.7,0.72,-0.5,5.4e-01,1.0e+00,0.9868,2501,540,384,69,104,372,240
GENE-13608,NO,339,176.7,162.3,0.92,-0.1,5.4e-01,1.0e+00,0.9868,2502,173,167,190,185,127,175
GENE-343,NO,111,50.7,60.3,1.185,0.2,5.4e-01,1.0e+00,0.9868,2503,66,36,50,94,46,41
GENE-3540,NO,54.3,29,25.3,0.87,-0.2,5.4e-01,1.0e+00,0.9868,2504,24,30,33,16,34,26
GENE-11941,NO,1309.7,635.7,674,1.06,0.1,5.4e-01,1.0e+00,0.9868,2504,627,603,677,678,680,664
GENE-6116,NO,4407.7,2086,2321.7,1.113,0.2,5.4e-01,1.0e+00,0.9868,2505,2138,2035,2085,2359,3044,1562
GENE-8839,NO,248,116.7,131.3,1.123,0.2,5.4e-01,1.0e+00,0.9868,2506,131,129,90,107,176,111
GENE-15555,NO,963.7,503.3,460.3,0.915,-0.1,5.4e-01,1.0e+00,0.9868,2507,397,532,581,522,467,392
GENE-11052,NO,2061,1077,984,0.914,-0.1,5.4e-01,1.0e+00,0.9868,2508,1081,1131,1019,1004,1214,734
GENE-9282,NO,3130,1653.3,1476.7,0.893,-0.2,5.4e-01,1.0e+00,0.9868,2509,2126,1365,1469,1280,1934,1216
GENE-5920,NO,2245.3,1153,1092.3,0.947,-0.1,5.4e-01,1.0e+00,0.9868,2510,1146,1151,1162,1119,1043,1115
GENE-19693,NO,66.7,31.3,35.3,1.122,0.2,5.4e-01,1.0e+00,0.9868,2511,35,24,35,37,42,27
GENE-17034,NO,422.7,225.3,197.3,0.876,-0.2,5.4e-01,1.0e+00,0.9868,2512,158,216,302,219,233,140
GENE-16587,NO,5768.3,2985,2783.3,0.932,-0.1,5.4e-01,1.0e+00,0.9868,2513,2861,3325,2769,2518,2578,3254
GENE-917,NO,46.7,25,21.7,0.864,-0.2,5.4e-01,1.0e+00,0.9868,2514,33,26,16,16,24,25
GENE-17094,NO,797.7,415.3,382.3,0.92,-0.1,5.4e-01,1.0e+00,0.9868,2515,383,449,414,301,401,445
GENE-1223,NO,171.7,81.7,90,1.101,0.1,5.4e-01,1.0e+00,0.9868,2516,71,91,83,114,74,82
GENE-6046,NO,49.3,26.3,23,0.87,-0.2,5.4e-01,1.0e+00,0.9868,2517,28,18,33,18,30,21
GENE-4575,NO,122,58.3,63.7,1.086,0.1,5.4e-01,1.0e+00,0.9868,2518,56,51,68,66,57,68
GENE-10616,NO,176.7,85,91.7,1.078,0.1,5.4e-01,1.0e+00,0.9868,2519,88,74,93,98,82,95
GENE-4941,NO,419,225.7,193.3,0.857,-0.2,5.4e-01,1.0e+00,0.9868,2520,163,150,364,199,180,201
GENE-14241,NO,124.3,58.3,66,1.131,0.2,5.4e-01,1.0e+00,0.9868,2521,53,74,48,75,78,45
GENE-19596,NO,132.7,61,71.7,1.17,0.2,5.4e-01,1.0e+00,0.9868,2522,67,46,70,85,38,92
GENE-11242,NO,105.3,50,55.3,1.108,0.1,5.4e-01,1.0e+00,0.9868,2523,51,63,36,55,55,56
GENE-55,NO,188.3,86,102.3,1.188,0.2,5.4e-01,1.0e+00,0.9868,2524,63,115,80,53,113,141
GENE-4028,NO,37,17.3,19.7,1.128,0.2,5.4e-01,1.0e+00,0.9868,2525,15,14,23,19,22,18
GENE-7484,NO,3473.7,1672,1801.7,1.078,0.1,5.4e-01,1.0e+00,0.9868,2526,1855,1545,1616,1805,1493,2107
GENE-15671,NO,98.3,46.7,51.7,1.102,0.1,5.4e-01,1.0e+00,0.9868,2527,50,47,43,52,63,40
GENE-3012,NO,2955.7,1392.7,1563,1.122,0.2,5.4e-01,1.0e+00,0.9868,2528,973,1649,1556,1971,1493,1225
GENE-967,NO,276.3,145.3,131,0.902,-0.1,5.4e-01,1.0e+00,0.9868,2529,159,131,146,158,91,144
GENE-4939,NO,7202.3,3887.7,3314.7,0.853,-0.2,5.4e-01,1.0e+00,0.9868,2530,5461,2749,3453,2703,2307,4934
GENE-2047,NO,57.3,30.3,27,0.886,-0.2,5.4e-01,1.0e+00,0.9868,2531,23,37,31,25,34,22
GENE-13214,NO,103.7,48.7,55,1.125,0.2,5.5e-01,1.0e+00,0.9868,2532,45,51,50,56,37,72
GENE-15948,NO,837,399.3,437.7,1.096,0.1,5.5e-01,1.0e+00,0.9868,2533,512,373,313,427,465,421
GENE-16047,NO,911,474.7,436.3,0.919,-0.1,5.5e-01,1.0e+00,0.9868,2534,579,426,419,378,446,485
GENE-12296,NO,90.7,55.3,35.3,0.636,-0.7,5.5e-01,1.0e+00,0.9868,2535,72,54,40,1,94,11
GENE-18106,NO,340.7,181,159.7,0.882,-0.2,5.5e-01,1.0e+00,0.9868,2536,149,142,252,191,120,168
GENE-15005,NO,530.7,255.3,275.3,1.079,0.1,5.5e-01,1.0e+00,0.9868,2537,267,275,224,316,239,271
GENE-5726,NO,1173.3,604.7,568.7,0.94,-0.1,5.5e-01,1.0e+00,0.9868,2538,584,639,591,603,589,514
GENE-7463,NO,1375.3,739,636.3,0.861,-0.2,5.5e-01,1.0e+00,0.9868,2539,873,497,847,379,704,826
GENE-8175,NO,30.7,14.3,16.3,1.133,0.2,5.5e-01,1.0e+00,0.9868,2540,12,17,14,15,16,18
GENE-3432,NO,40,18.3,21.7,1.175,0.2,5.5e-01,1.0e+00,0.9868,2541,12,17,26,20,16,29
GENE-17540,NO,3104,1499.7,1604.3,1.07,0.1,5.5e-01,1.0e+00,0.9868,2542,1402,1753,1344,1522,1734,1557
GENE-19313,NO,246.7,128.3,118.3,0.923,-0.1,5.5e-01,1.0e+00,0.9868,2543,129,149,107,121,130,104
GENE-19238,NO,218.7,104.3,114.3,1.094,0.1,5.5e-01,1.0e+00,0.9868,2544,91,103,119,92,114,137
GENE-18930,NO,493,268,225,0.84,-0.3,5.5e-01,1.0e+00,0.9868,2545,279,217,308,315,101,259
GENE-2580,NO,9538.3,4647.7,4890.7,1.052,0.1,5.5e-01,1.0e+00,0.9868,2546,4698,4578,4667,5197,4859,4616
GENE-18527,NO,26.3,12,14.3,1.186,0.2,5.5e-01,1.0e+00,0.9868,2547,7,11,18,18,12,13
GENE-17004,NO,532,178.7,353.3,1.977,1,5.5e-01,1.0e+00,0.9868,2548,100,388,48,19,1027,14
GENE-18503,NO,569,294.3,274.7,0.933,-0.1,5.5e-01,1.0e+00,0.9868,2549,340,264,279,278,259,287
GENE-5461,NO,22.3,10,12.3,1.224,0.3,5.5e-01,1.0e+00,0.9868,2550,4,12,14,15,9,13
GENE-18606,NO,100,52,48,0.919,-0.1,5.5e-01,1.0e+00,0.9868,2551,53,43,60,50,49,45
GENE-11603,NO,779,403.3,375.7,0.932,-0.1,5.5e-01,1.0e+00,0.9868,2552,367,438,405,329,375,423
GENE-14920,NO,132.3,63,69.3,1.096,0.1,5.5e-01,1.0e+00,0.9868,2553,74,54,61,69,82,57
GENE-3431,NO,1022.7,528.3,494.3,0.936,-0.1,5.5e-01,1.0e+00,0.9868,2554,565,536,484,545,498,440
GENE-19598,NO,620.3,322,298.3,0.926,-0.1,5.5e-01,1.0e+00,0.9868,2555,334,372,260,313,299,283
GENE-9614,NO,237,125,112,0.894,-0.2,5.5e-01,1.0e+00,0.9868,2556,125,126,124,94,158,84
GENE-1407,NO,63,29.7,33.3,1.117,0.2,5.5e-01,1.0e+00,0.9868,2557,22,37,30,34,37,29
GENE-8636,NO,236.7,125.7,111,0.884,-0.2,5.5e-01,1.0e+00,0.9868,2558,99,96,182,96,125,112
GENE-11044,NO,1929.7,904.7,1025,1.132,0.2,5.5e-01,1.0e+00,0.9868,2559,1148,862,704,928,742,1405
GENE-18963,NO,172,83,89,1.071,0.1,5.5e-01,1.0e+00,0.9868,2560,79,85,85,80,100,87
GENE-14494,NO,154.7,82.3,72.3,0.877,-0.2,5.5e-01,1.0e+00,0.9868,2561,69,120,58,63,69,85
GENE-4466,NO,193.3,91.3,102,1.115,0.2,5.5e-01,1.0e+00,0.9868,2562,74,124,76,86,111,109
GENE-19768,NO,172,96,76,0.788,-0.3,5.5e-01,1.0e+00,0.9868,2563,124,48,116,36,56,136
GENE-9713,NO,4493.7,2350.3,2143.3,0.912,-0.1,5.5e-01,1.0e+00,0.9868,2564,2365,2586,2100,2619,2258,1553
GENE-1773,NO,52.7,27.7,25,0.9,-0.2,5.5e-01,1.0e+00,0.9868,2565,29,33,21,27,22,26
GENE-8987,YES,125,69.3,55.7,0.801,-0.3,5.5e-01,1.0e+00,0.9868,2566,35,90,83,54,88,25
GENE-7622,NO,279.3,146.3,133,0.908,-0.1,5.5e-01,1.0e+00,0.9868,2567,189,113,137,150,125,124
GENE-16733,NO,159.7,76.3,83.3,1.091,0.1,5.5e-01,1.0e+00,0.9868,2568,73,63,93,84,92,74
GENE-2522,NO,1662.7,1038,624.7,0.602,-0.7,5.5e-01,1.0e+00,0.9868,2569,1529,263,1322,821,18,1035
GENE-7368,NO,56.7,26.7,30,1.119,0.2,5.5e-01,1.0e+00,0.9868,2570,22,26,32,26,38,26
GENE-2694,NO,1545,795.7,749.3,0.941,-0.1,5.5e-01,1.0e+00,0.9868,2571,771,769,847,728,824,696
GENE-8822,NO,752.7,364.3,388.3,1.065,0.1,5.5e-01,1.0e+00,0.9868,2572,336,368,389,414,356,395
GENE-7644,NO,1346.7,704.7,642,0.911,-0.1,5.5e-01,1.0e+00,0.9868,2573,868,627,619,644,516,766
GENE-3872,NO,29.7,16,13.7,0.851,-0.2,5.5e-01,1.0e+00,0.9868,2574,20,14,14,20,13,8
GENE-17839,NO,2682,1301.7,1380.3,1.06,0.1,5.5e-01,1.0e+00,0.9868,2575,1402,1257,1246,1505,1263,1373
GENE-15095,NO,47.3,16.3,31,1.883,0.9,5.5e-01,1.0e+00,0.9868,2576,0,0,49,1,33,59
GENE-15102,NO,485.3,234,251.3,1.075,0.1,5.5e-01,1.0e+00,0.9868,2577,233,234,235,205,279,270
GENE-19756,NO,1045.7,497,548.7,1.104,0.1,5.5e-01,1.0e+00,0.9868,2578,602,455,434,434,698,514
GENE-6092,NO,272.7,126,146.7,1.167,0.2,5.5e-01,1.0e+00,0.9868,2579,123,69,186,156,170,114
GENE-18550,NO,1126.3,586.3,540,0.921,-0.1,5.5e-01,1.0e+00,0.9868,2579,550,619,590,682,470,468
GENE-1728,NO,2309,1111.7,1197.3,1.077,0.1,5.5e-01,1.0e+00,0.9868,2580,1304,884,1147,1226,1140,1226
GENE-9486,NO,171.3,82.7,88.7,1.071,0.1,5.5e-01,1.0e+00,0.9868,2581,72,84,92,88,88,90
GENE-17229,NO,3770.7,1976,1794.7,0.908,-0.1,5.5e-01,1.0e+00,0.9868,2582,1661,2123,2144,2123,1278,1983
GENE-2094,NO,31.7,17,14.7,0.859,-0.2,5.5e-01,1.0e+00,0.9868,2583,13,16,22,11,21,12
GENE-14624,YES,1409.3,764.7,644.7,0.843,-0.2,5.5e-01,1.0e+00,0.9868,2584,351,758,1185,691,582,661
GENE-14719,NO,582.3,307,275.3,0.897,-0.2,5.5e-01,1.0e+00,0.9868,2585,373,245,303,362,245,219
GENE-8092,NO,33.7,18.3,15.3,0.833,-0.3,5.6e-01,1.0e+00,0.9868,2586,13,20,22,24,8,14
GENE-16791,NO,572.3,297.7,274.7,0.923,-0.1,5.6e-01,1.0e+00,0.9868,2587,322,325,246,318,238,268
GENE-8173,NO,397.7,205.3,192.3,0.938,-0.1,5.6e-01,1.0e+00,0.9868,2588,190,228,198,183,205,189
GENE-11584,NO,124,58,66,1.133,0.2,5.6e-01,1.0e+00,0.9868,2589,83,45,46,72,74,52
GENE-11924,NO,390.3,188.3,202,1.073,0.1,5.6e-01,1.0e+00,0.9868,2590,190,176,199,205,171,230
GENE-2306,NO,340.7,163.3,177.3,1.086,0.1,5.6e-01,1.0e+00,0.9868,2591,138,162,190,205,148,179
GENE-1883,NO,716.7,380.7,336,0.883,-0.2,5.6e-01,1.0e+00,0.9868,2592,460,313,369,467,315,226
GENE-7101,NO,118.7,57,61.7,1.076,0.1,5.6e-01,1.0e+00,0.9868,2593,53,54,64,60,67,58
GENE-12563,NO,1068.3,552.7,515.7,0.933,-0.1,5.6e-01,1.0e+00,0.9868,2594,632,472,554,477,544,526
GENE-13138,NO,573,301,272,0.904,-0.1,5.6e-01,1.0e+00,0.9868,2595,312,360,231,223,254,339
GENE-2723,NO,56,29.7,26.3,0.884,-0.2,5.6e-01,1.0e+00,0.9868,2596,34,27,28,22,37,20
GENE-11147,NO,137,65.3,71.7,1.092,0.1,5.6e-01,1.0e+00,0.9868,2597,63,56,77,85,62,68
GENE-2216,NO,741.7,197,544.7,2.763,1.5,5.6e-01,1.0e+00,0.9868,2598,6,14,571,0,1,1633
GENE-11838,NO,72.3,38.7,33.7,0.867,-0.2,5.6e-01,1.0e+00,0.9868,2599,29,51,36,30,24,47
GENE-3267,NO,237,123,114,0.923,-0.1,5.6e-01,1.0e+00,0.9868,2600,137,96,136,112,110,120
GENE-5063,NO,162,76,86,1.131,0.2,5.6e-01,1.0e+00,0.9868,2601,82,85,61,120,59,79
GENE-14821,NO,102.7,48.3,54.3,1.125,0.2,5.6e-01,1.0e+00,0.9873,2604,41,67,37,49,65,49
GENE-8862,NO,97.7,51.7,46,0.886,-0.2,5.6e-01,1.0e+00,0.9876,2605,51,57,47,66,37,35
GENE-8956,NO,19.3,8.7,10.7,1.222,0.3,5.6e-01,1.0e+00,0.9876,2606,6,11,9,11,5,16
GENE-2297,NO,3024.3,1438.3,1586,1.103,0.1,5.6e-01,1.0e+00,0.9876,2607,1204,1490,1621,1188,2055,1515
GENE-13917,NO,1283,663.7,619.3,0.933,-0.1,5.6e-01,1.0e+00,0.9876,2608,607,607,777,647,644,567
GENE-7225,NO,150.7,68.3,82.3,1.202,0.3,5.6e-01,1.0e+00,0.9883,2611,51,113,41,90,105,52
GENE-13355,NO,26.3,14,12.3,0.878,-0.2,5.6e-01,1.0e+00,0.9883,2612,17,12,13,11,13,13
GENE-15611,NO,1726.7,800.7,926,1.157,0.2,5.6e-01,1.0e+00,0.9888,2614,801,438,1163,1094,788,896
GENE-17254,NO,25,13.3,11.7,0.872,-0.2,5.6e-01,1.0e+00,0.989,2616,16,15,9,9,13,13
GENE-19647,NO,848.3,446,402.3,0.903,-0.1,5.6e-01,1.0e+00,0.989,2617,489,505,344,429,482,296
GENE-4719,NO,727,390.3,336.7,0.862,-0.2,5.6e-01,1.0e+00,0.989,2618,391,519,261,457,344,209
GENE-18740,NO,32.7,14.3,18.3,1.271,0.3,5.6e-01,1.0e+00,0.989,2619,10,17,16,8,12,35
GENE-495,NO,83,43.7,39.3,0.898,-0.2,5.6e-01,1.0e+00,0.989,2620,54,32,45,32,44,42
GENE-1768,NO,2076,995.7,1080.3,1.085,0.1,5.6e-01,1.0e+00,0.989,2621,1030,793,1164,962,1018,1261
GENE-17582,NO,49,26.3,22.7,0.858,-0.2,5.6e-01,1.0e+00,0.989,2622,37,18,24,30,15,23
GENE-2969,NO,294,154,140,0.909,-0.1,5.6e-01,1.0e+00,0.989,2623,131,156,175,179,108,133
GENE-8516,NO,69.3,33,36.3,1.096,0.1,5.6e-01,1.0e+00,0.989,2624,33,29,37,30,42,37
GENE-6049,NO,404,211.3,192.7,0.912,-0.1,5.6e-01,1.0e+00,0.989,2625,162,266,206,218,188,172
GENE-13434,NO,1309.3,673.3,636,0.945,-0.1,5.6e-01,1.0e+00,0.989,2626,721,685,614,626,639,643
GENE-7422,NO,3584.7,1553.7,2031,1.307,0.4,5.6e-01,1.0e+00,0.989,2627,1446,1954,1261,703,4290,1100
GENE-8281,NO,56.3,30,26.3,0.874,-0.2,5.6e-01,1.0e+00,0.989,2628,38,24,28,27,35,17
GENE-1187,NO,880.7,255.3,625.3,2.447,1.3,5.6e-01,1.0e+00,0.989,2629,758,1,7,1208,0,668
GENE-14192,NO,524.7,270.3,254.3,0.941,-0.1,5.6e-01,1.0e+00,0.989,2630,245,277,289,262,239,262
GENE-11574,NO,918.3,437.7,480.7,1.097,0.1,5.6e-01,1.0e+00,0.989,2631,502,406,405,590,355,497
GENE-19730,NO,917.3,472.3,445,0.943,-0.1,5.6e-01,1.0e+00,0.989,2632,494,496,427,463,444,428
GENE-17091,NO,3589.7,1862,1727.7,0.928,-0.1,5.6e-01,1.0e+00,0.989,2633,1539,1929,2118,1671,2005,1507
GENE-11369,NO,1172,569,603,1.059,0.1,5.6e-01,1.0e+00,0.989,2634,572,614,521,605,622,582
GENE-13833,NO,207.7,99.7,108,1.085,0.1,5.6e-01,1.0e+00,0.989,2635,95,104,100,91,135,98
GENE-18770,NO,700.3,360.7,339.7,0.941,-0.1,5.7e-01,1.0e+00,0.989,2636,395,345,342,324,364,331
GENE-4346,NO,101.3,54,47.3,0.873,-0.2,5.7e-01,1.0e+00,0.989,2637,48,35,79,47,56,39
GENE-19919,NO,309.7,147.3,162.3,1.098,0.1,5.7e-01,1.0e+00,0.989,2638,141,159,142,212,122,153
GENE-379,NO,705.7,338.7,367,1.083,0.1,5.7e-01,1.0e+00,0.989,2639,338,299,379,361,301,439
GENE-17122,NO,205.3,107,98.3,0.917,-0.1,5.7e-01,1.0e+00,0.989,2640,82,124,115,95,89,111
GENE-11795,NO,1222.7,630,592.7,0.94,-0.1,5.7e-01,1.0e+00,0.989,2641,624,611,655,673,543,562
GENE-5259,NO,238.7,115.3,123.3,1.067,0.1,5.7e-01,1.0e+00,0.989,2642,112,125,109,137,121,112
GENE-10658,NO,380.7,196.7,184,0.938,-0.1,5.7e-01,1.0e+00,0.989,2643,201,197,192,180,163,209
GENE-7831,NO,450.3,236,214.3,0.909,-0.1,5.7e-01,1.0e+00,0.989,2644,205,246,257,151,247,245
GENE-14100,NO,1347.7,742,605.7,0.816,-0.3,5.7e-01,1.0e+00,0.989,2645,487,752,987,1081,328,408
GENE-2606,NO,1970.7,1056.7,914,0.865,-0.2,5.7e-01,1.0e+00,0.989,2646,875,1514,781,825,629,1288
GENE-4020,NO,1856,882.3,973.7,1.103,0.1,5.7e-01,1.0e+00,0.9893,2647,818,887,942,850,1331,740
GENE-3175,NO,30,14,16,1.137,0.2,5.7e-01,1.0e+00,0.9893,2648,19,10,13,14,15,19
GENE-13907,NO,6969.3,3618.7,3350.7,0.926,-0.1,5.7e-01,1.0e+00,0.9893,2649,3355,3888,3613,3955,2558,3539
GENE-4277,NO,6639.3,3216.7,3422.7,1.064,0.1,5.7e-01,1.0e+00,0.9896,2651,3092,3725,2833,3191,3393,3684
GENE-10765,NO,296,143.7,152.3,1.062,0.1,5.7e-01,1.0e+00,0.9896,2652,145,135,151,168,144,145
GENE-6295,NO,614.3,317.3,297,0.936,-0.1,5.7e-01,1.0e+00,0.9896,2653,320,321,311,320,248,323
GENE-4803,NO,1949.3,929.7,1019.7,1.096,0.1,5.7e-01,1.0e+00,0.9896,2654,995,853,941,915,1357,787
GENE-13856,NO,879.7,416,463.7,1.114,0.2,5.7e-01,1.0e+00,0.9896,2655,280,410,558,411,513,467
GENE-612,NO,1037.7,498,539.7,1.083,0.1,5.7e-01,1.0e+00,0.9896,2656,419,456,619,480,567,572
GENE-17171,NO,354,201.3,152.7,0.759,-0.4,5.7e-01,1.0e+00,0.9896,2657,427,87,90,93,148,217
GENE-8986,NO,8710.3,4092.3,4618,1.129,0.2,5.7e-01,1.0e+00,0.9896,2658,2935,3290,6052,4650,3899,5305
GENE-2794,NO,292.7,142,150.7,1.064,0.1,5.7e-01,1.0e+00,0.9896,2659,150,128,148,138,155,159
GENE-2353,NO,31.3,14.3,17,1.178,0.2,5.7e-01,1.0e+00,0.9896,2660,8,14,21,12,19,20
GENE-19109,NO,99.7,52,47.7,0.913,-0.1,5.7e-01,1.0e+00,0.9896,2661,54,52,50,37,60,46
GENE-5071,NO,126,60,66,1.1,0.1,5.7e-01,1.0e+00,0.9897,2662,47,63,70,81,59,58
GENE-16561,NO,86.7,41.3,45.3,1.091,0.1,5.7e-01,1.0e+00,0.9897,2663,46,45,33,50,46,40
GENE-897,NO,1809,931,878,0.943,-0.1,5.7e-01,1.0e+00,0.9897,2664,870,908,1015,950,802,882
GENE-18925,NO,481.3,248,233.3,0.942,-0.1,5.7e-01,1.0e+00,0.9897,2665,248,258,238,208,249,243
GENE-17885,NO,38,20.7,17.3,0.837,-0.3,5.7e-01,1.0e+00,0.9897,2666,28,9,25,17,22,13
GENE-8567,NO,203.3,108.7,94.7,0.872,-0.2,5.7e-01,1.0e+00,0.9897,2667,88,103,135,140,61,83
GENE-4376,NO,49.3,23.3,26,1.108,0.1,5.7e-01,1.0e+00,0.9897,2668,24,25,21,33,20,25
GENE-12461,NO,778,375,403,1.074,0.1,5.7e-01,1.0e+00,0.9897,2669,386,337,402,383,350,476
GENE-18977,NO,2442.3,1253,1189.3,0.95,-0.1,5.7e-01,1.0e+00,0.9897,2670,1281,1159,1319,1234,1154,1180
GENE-3084,NO,1421.3,681.7,739.7,1.085,0.1,5.7e-01,1.0e+00,0.9897,2671,535,844,666,690,710,819
GENE-8035,NO,752.3,393.7,358.7,0.911,-0.1,5.7e-01,1.0e+00,0.9897,2672,289,474,418,315,420,341
GENE-8298,NO,97,53,44,0.832,-0.3,5.7e-01,1.0e+00,0.9897,2673,39,63,57,59,17,56
GENE-3248,NO,146,76.3,69.7,0.913,-0.1,5.7e-01,1.0e+00,0.9897,2674,71,76,82,72,51,86
GENE-4498,NO,276.3,133,143.3,1.075,0.1,5.7e-01,1.0e+00,0.9897,2675,130,132,137,114,160,156
GENE-8231,NO,461.3,241,220.3,0.915,-0.1,5.8e-01,1.0e+00,0.9897,2676,263,171,289,212,213,236
GENE-2342,NO,134.3,61.7,72.7,1.177,0.2,5.8e-01,1.0e+00,0.9897,2677,39,95,51,64,103,51
GENE-19635,NO,502.7,243.7,259,1.064,0.1,5.8e-01,1.0e+00,0.9897,2678,266,217,248,280,244,253
GENE-17674,NO,91,43.3,47.7,1.094,0.1,5.8e-01,1.0e+00,0.9897,2679,37,44,49,38,51,54
GENE-1104,NO,121.7,64.3,57.3,0.893,-0.2,5.8e-01,1.0e+00,0.9897,2680,86,60,47,44,62,66
GENE-5186,NO,120.3,57.7,62.7,1.081,0.1,5.8e-01,1.0e+00,0.9897,2681,56,52,65,54,73,61
GENE-16481,NO,217,112.3,104.7,0.927,-0.1,5.8e-01,1.0e+00,0.9897,2682,122,122,93,104,119,91
GENE-1570,NO,145.3,69,76.3,1.102,0.1,5.8e-01,1.0e+00,0.9897,2683,91,58,58,63,82,84
GENE-5773,NO,295,140.3,154.7,1.102,0.1,5.8e-01,1.0e+00,0.9897,2684,166,122,133,187,167,110
GENE-12442,NO,107.3,51.3,56,1.092,0.1,5.8e-01,1.0e+00,0.9897,2685,48,65,41,58,52,58
GENE-16069,NO,18460,10627.7,7832.3,0.737,-0.4,5.8e-01,1.0e+00,0.9897,2686,10626,2393,18864,9365,2877,11255
GENE-2615,NO,61.3,32.7,28.7,0.875,-0.2,5.8e-01,1.0e+00,0.9897,2687,36,18,44,28,28,30
GENE-17282,NO,676.3,349,327.3,0.937,-0.1,5.8e-01,1.0e+00,0.9897,2688,337,322,388,291,330,361
GENE-12521,NO,67,35.7,31.3,0.875,-0.2,5.8e-01,1.0e+00,0.9897,2689,31,46,30,36,19,39
GENE-19610,NO,726.7,394,332.7,0.844,-0.2,5.8e-01,1.0e+00,0.9897,2690,411,437,334,569,255,174
GENE-5387,NO,876,458.7,417.3,0.909,-0.1,5.8e-01,1.0e+00,0.9897,2691,386,513,477,454,296,502
GENE-386,NO,107.3,51,56.3,1.099,0.1,5.8e-01,1.0e+00,0.9897,2692,47,57,49,73,46,50
GENE-8752,NO,1170.3,610,560.3,0.918,-0.1,5.8e-01,1.0e+00,0.9897,2693,602,676,552,721,506,454
GENE-18282,NO,8394,4086,4308,1.054,0.1,5.8e-01,1.0e+00,0.9897,2694,4142,3886,4230,3832,4386,4706
GENE-1377,NO,2684.7,1304.3,1380.3,1.058,0.1,5.8e-01,1.0e+00,0.9897,2695,1142,1377,1394,1458,1384,1299
GENE-15006,NO,525,250,275,1.101,0.1,5.8e-01,1.0e+00,0.9897,2696,295,269,186,342,242,241
GENE-15034,NO,20.3,11,9.3,0.846,-0.2,5.8e-01,1.0e+00,0.9897,2697,8,14,11,10,5,13
GENE-9057,NO,789,424.3,364.7,0.859,-0.2,5.8e-01,1.0e+00,0.9897,2698,538,501,234,494,355,245
GENE-16071,NO,145,67.3,77.7,1.148,0.2,5.8e-01,1.0e+00,0.9897,2699,78,49,75,112,74,47
GENE-9210,NO,3163.3,1539.3,1624,1.055,0.1,5.8e-01,1.0e+00,0.9897,2700,1684,1426,1508,1730,1620,1522
GENE-16715,NO,2219.7,1080,1139.7,1.056,0.1,5.8e-01,1.0e+00,0.9897,2701,1199,1009,1032,1128,1105,1186
GENE-10621,NO,2161,1142.7,1018.3,0.892,-0.2,5.8e-01,1.0e+00,0.9897,2702,798,1608,1022,868,1257,930
